Participant,Cutoff,Dom,avg_dur,Area_ratio
p111,0.1,L2,0.1204702552388064,1.0716752330335975
p111,0.15,L2,0.1204702552388064,0.9970171052359437
p111,0.2,L2,0.1204702552388064,1.0125825489121385
p111,0.25,L2,0.1204702552388064,1.062845640584748
p111,0.3,L2,0.1204702552388064,1.081655845860751
p113,0.1,biling,0.1365849266254688,0.843383630113463
p113,0.15,biling,0.1365849266254688,0.8311934486090352
p113,0.2,biling,0.1365849266254688,0.8225467976771589
p113,0.25,biling,0.1365849266254688,0.8004940556446323
p113,0.3,biling,0.1365849266254688,0.788893760833197
p114,0.1,biling,0.1585710314151056,1.0483896640877755
p114,0.15,biling,0.1585710314151056,1.02243306808041
p114,0.2,biling,0.1585710314151056,1.0153922455210618
p114,0.25,biling,0.1585710314151056,0.8872469005534172
p114,0.3,biling,0.1585710314151056,0.8576407005706668
p117,0.1,L2,0.1106049770475788,1.2018202625701988
p117,0.15,L2,0.1106049770475788,1.1009884690018925
p117,0.2,L2,0.1106049770475788,1.0763000723068192
p117,0.25,L2,0.1106049770475788,1.032730838532941
p117,0.3,L2,0.1106049770475788,1.010938835952484
p118,0.1,biling,0.1134319911858914,1.0748717334203557
p118,0.15,biling,0.1134319911858914,1.124269140714906
p118,0.2,biling,0.1134319911858914,1.1106415472254958
p118,0.25,biling,0.1134319911858914,1.0563825547412915
p118,0.3,biling,0.1134319911858914,1.0463232119130768
p119,0.1,biling,0.1418962251073405,1.1430708616627951
p119,0.15,biling,0.1418962251073405,1.1728270980861604
p119,0.2,biling,0.1418962251073405,1.1848544847353069
p119,0.25,biling,0.1418962251073405,1.1757204688803662
p119,0.3,biling,0.1418962251073405,1.2358916197587815
p120,0.1,biling,0.1406212424849406,0.8269948273552475
p120,0.15,biling,0.1406212424849406,0.7674665325742991
p120,0.2,biling,0.1406212424849406,0.7363143730437423
p120,0.25,biling,0.1406212424849406,0.7019929730070633
p120,0.3,biling,0.1406212424849406,0.6691596447840081
p121,0.1,L2,0.1539485087942232,0.9440190980464983
p121,0.15,L2,0.1539485087942232,0.9185802942771913
p121,0.2,L2,0.1539485087942232,0.9120165280232967
p121,0.25,L2,0.1539485087942232,0.9674709118385183
p121,0.3,L2,0.1539485087942232,0.958842809903468
p122,0.1,biling,0.1222096985582836,0.9447723696143551
p122,0.15,biling,0.1222096985582836,0.9008781731937536
p122,0.2,biling,0.1222096985582836,0.8274139992703197
p122,0.25,biling,0.1222096985582836,0.779356211367175
p122,0.3,biling,0.1222096985582836,0.7854345960948832
p123,0.1,L2,0.1316264790793883,0.9584710948054214
p123,0.15,L2,0.1316264790793883,0.935336403738499
p123,0.2,L2,0.1316264790793883,0.937152681247128
p123,0.25,L2,0.1316264790793883,0.8839208599780087
p123,0.3,L2,0.1316264790793883,0.843679651279908
p124,0.1,biling,0.1127459919069355,1.1866147447835658
p124,0.15,biling,0.1127459919069355,1.1729254651234793
p124,0.2,biling,0.1127459919069355,1.1533366603819348
p124,0.25,biling,0.1127459919069355,1.2102707432160267
p124,0.3,biling,0.1127459919069355,1.4083894167674509
p126,0.1,L2,0.1654652290703182,0.8211009026604084
p126,0.15,L2,0.1654652290703182,0.7652663770470066
p126,0.2,L2,0.1654652290703182,0.7171058603866133
p126,0.25,L2,0.1654652290703182,0.7793972117809596
p126,0.3,L2,0.1654652290703182,0.7685263217392406
s001,0.1,mono,0.090275326356653,1.001870640306865
s001,0.15,mono,0.090275326356653,1.0290352271083165
s001,0.2,mono,0.090275326356653,1.1003312196991637
s001,0.25,mono,0.090275326356653,1.1556582336608583
s001,0.3,mono,0.090275326356653,1.1408969190990894
s002,0.1,mono,0.0732777250366648,1.0407353709158533
s002,0.15,mono,0.0732777250366648,1.016657418478109
s002,0.2,mono,0.0732777250366648,1.0350427623601566
s002,0.25,mono,0.0732777250366648,1.0163245227992024
s002,0.3,mono,0.0732777250366648,1.0302579503201157
s051,0.1,mono,0.0781998038391727,0.953922475692366
s051,0.15,mono,0.0781998038391727,0.9289068274524832
s051,0.2,mono,0.0781998038391727,0.9269801141359638
s051,0.25,mono,0.0781998038391727,0.9276624800061318
s051,0.3,mono,0.0781998038391727,0.8727892888217189
s053,0.1,mono,0.0746084909301334,1.0769939608766568
s053,0.15,mono,0.0746084909301334,1.11878013500528
s053,0.2,mono,0.0746084909301334,1.1084290517742335
s053,0.25,mono,0.0746084909301334,1.079093145501844
s053,0.3,mono,0.0746084909301334,1.1534716935506597
s055,0.1,mono,0.0817501992276005,1.0005756581684897
s055,0.15,mono,0.0817501992276005,1.0256574641933045
s055,0.2,mono,0.0817501992276005,1.0194717397939375
s055,0.25,mono,0.0817501992276005,1.0293923086438523
s055,0.3,mono,0.0817501992276005,1.057223386056689
s056,0.1,mono,0.0768452191922649,1.008765769704591
s056,0.15,mono,0.0768452191922649,0.9932579757277219
s056,0.2,mono,0.0768452191922649,0.9964243552499523
s056,0.25,mono,0.0768452191922649,1.133399052147208
s056,0.3,mono,0.0768452191922649,1.1910423646721555
